,AVG,HR,RBI,SLG,OBP,OPS
1,0.348,26,99,0.555,0.419,0.974
2,0.345,18,67,0.537,0.424,0.961
3,0.329,9,55,0.456,0.41,0.866
4,0.327,10,67,0.475,0.409,0.884
5,0.321,15,77,0.486,0.375,0.861
6,0.32,30,94,0.618,0.438,1.056
7,0.318,11,67,0.439,0.365,0.804
8,0.318,28,71,0.532,0.363,0.895
9,0.317,3,37,0.394,0.406,0.8
10,0.315,34,89,0.582,0.432,1.014
11,0.31,41,95,0.644,0.364,1.008
12,0.309,33,100,0.541,0.394,0.935
13,0.308,16,68,0.48,0.42,0.9
14,0.306,39,97,0.627,0.468,1.095
15,0.302,12,74,0.466,0.368,0.834
16,0.295,38,89,0.596,0.393,0.989
17,0.288,26,77,0.517,0.314,0.831
18,0.286,5,46,0.393,0.343,0.736
19,0.286,1,35,0.362,0.39,0.752
20,0.285,21,84,0.467,0.336,0.803
21,0.28,14,72,0.454,0.389,0.843
22,0.274,7,57,0.367,0.329,0.696
23,0.268,38,131,0.533,0.37,0.903
24,0.262,10,60,0.383,0.362,0.745
25,0.261,13,63,0.405,0.322,0.727
26,0.259,8,47,0.396,0.328,0.724
27,0.254,11,69,0.4,0.305,0.705
28,0.254,13,49,0.393,0.315,0.708
29,0.242,10,55,0.363,0.309,0.672
30,0.235,4,44,0.306,0.266,0.572
31,0.233,13,60,0.355,0.301,0.656
32,0.352,36,102,0.661,0.431,1.092
33,0.323,24,82,0.534,0.403,0.937
34,0.323,9,69,0.457,0.427,0.884
35,0.321,26,86,0.553,0.403,0.956
36,0.31,32,127,0.527,0.383,0.91
37,0.292,14,57,0.435,0.369,0.804
38,0.292,24,99,0.506,0.374,0.88
39,0.292,11,53,0.431,0.373,0.804
40,0.287,18,67,0.472,0.357,0.829
41,0.284,8,57,0.393,0.374,0.767
42,0.281,47,124,0.59,0.396,0.986
43,0.278,10,48,0.405,0.391,0.796
44,0.278,4,57,0.374,0.333,0.707
45,0.276,5,48,0.36,0.344,0.704
46,0.276,10,49,0.397,0.334,0.731
47,0.275,16,80,0.457,0.366,0.823
48,0.27,22,62,0.488,0.315,0.803
49,0.266,8,49,0.398,0.346,0.744
50,0.265,7,57,0.382,0.345,0.727
51,0.265,25,106,0.463,0.316,0.779
52,0.265,18,45,0.423,0.323,0.746
53,0.261,1,23,0.312,0.321,0.633
54,0.248,32,82,0.485,0.324,0.809
55,0.239,3,35,0.328,0.309,0.637
56,0.238,29,74,0.494,0.333,0.827
57,0.237,25,63,0.451,0.313,0.764
58,0.233,26,65,0.447,0.309,0.756
59,0.23,5,42,0.305,0.294,0.599
60,0.219,3,41,0.277,0.261,0.538
