,time,value
2018-12-22 00:00:01,00:00:01,60
2018-12-22 00:00:16,00:00:16,58
2018-12-22 00:00:31,00:00:31,57
2018-12-22 00:00:41,00:00:41,55
2018-12-22 00:00:46,00:00:46,52
2018-12-22 00:00:51,00:00:51,51
2018-12-22 00:00:56,00:00:56,50
2018-12-22 00:01:06,00:01:06,51
2018-12-22 00:01:11,00:01:11,52
2018-12-22 00:01:16,00:01:16,53
2018-12-22 00:01:26,00:01:26,54
2018-12-22 00:01:31,00:01:31,54
2018-12-22 00:01:36,00:01:36,53
2018-12-22 00:01:41,00:01:41,52
2018-12-22 00:01:46,00:01:46,51
2018-12-22 00:02:01,00:02:01,52
2018-12-22 00:02:06,00:02:06,53
2018-12-22 00:02:11,00:02:11,54
2018-12-22 00:02:16,00:02:16,56
2018-12-22 00:02:21,00:02:21,57
2018-12-22 00:02:26,00:02:26,53
2018-12-22 00:02:31,00:02:31,51
2018-12-22 00:02:36,00:02:36,52
2018-12-22 00:02:46,00:02:46,53
2018-12-22 00:02:51,00:02:51,52
2018-12-22 00:03:01,00:03:01,53
2018-12-22 00:03:11,00:03:11,52
2018-12-22 00:03:16,00:03:16,51
2018-12-22 00:03:26,00:03:26,52
2018-12-22 00:03:31,00:03:31,51
2018-12-22 00:03:46,00:03:46,51
2018-12-22 00:04:01,00:04:01,51
2018-12-22 00:04:06,00:04:06,52
2018-12-22 00:04:11,00:04:11,51
2018-12-22 00:04:26,00:04:26,51
2018-12-22 00:04:36,00:04:36,55
2018-12-22 00:04:41,00:04:41,56
2018-12-22 00:04:46,00:04:46,55
2018-12-22 00:04:51,00:04:51,53
2018-12-22 00:04:56,00:04:56,52
2018-12-22 00:05:11,00:05:11,52
2018-12-22 00:05:16,00:05:16,51
2018-12-22 00:05:31,00:05:31,51
2018-12-22 00:05:36,00:05:36,51
2018-12-22 00:05:41,00:05:41,52
2018-12-22 00:05:46,00:05:46,53
2018-12-22 00:05:56,00:05:56,54
2018-12-22 00:06:06,00:06:06,55
2018-12-22 00:06:11,00:06:11,58
2018-12-22 00:06:16,00:06:16,59
2018-12-22 00:06:31,00:06:31,57
2018-12-22 00:06:36,00:06:36,54
2018-12-22 00:06:41,00:06:41,53
2018-12-22 00:06:56,00:06:56,52
2018-12-22 00:07:01,00:07:01,51
2018-12-22 00:07:16,00:07:16,50
2018-12-22 00:07:21,00:07:21,51
2018-12-22 00:07:36,00:07:36,49
2018-12-22 00:07:51,00:07:51,49
2018-12-22 00:08:01,00:08:01,50
2018-12-22 00:08:16,00:08:16,51
2018-12-22 00:08:26,00:08:26,50
2018-12-22 00:08:36,00:08:36,51
2018-12-22 00:08:41,00:08:41,50
2018-12-22 00:08:46,00:08:46,49
2018-12-22 00:08:51,00:08:51,48
2018-12-22 00:09:06,00:09:06,48
2018-12-22 00:09:11,00:09:11,49
2018-12-22 00:09:16,00:09:16,50
2018-12-22 00:09:21,00:09:21,51
2018-12-22 00:09:26,00:09:26,50
2018-12-22 00:09:41,00:09:41,50
2018-12-22 00:09:46,00:09:46,51
2018-12-22 00:09:51,00:09:51,52
2018-12-22 00:09:56,00:09:56,54
2018-12-22 00:10:01,00:10:01,56
2018-12-22 00:10:06,00:10:06,57
2018-12-22 00:10:11,00:10:11,59
2018-12-22 00:10:16,00:10:16,60
2018-12-22 00:10:21,00:10:21,61
2018-12-22 00:10:31,00:10:31,62
2018-12-22 00:10:36,00:10:36,64
2018-12-22 00:10:41,00:10:41,61
2018-12-22 00:10:46,00:10:46,59
2018-12-22 00:10:51,00:10:51,57
2018-12-22 00:10:56,00:10:56,55
2018-12-22 00:11:01,00:11:01,54
2018-12-22 00:11:11,00:11:11,55
2018-12-22 00:11:16,00:11:16,56
2018-12-22 00:11:21,00:11:21,57
2018-12-22 00:11:26,00:11:26,56
2018-12-22 00:11:36,00:11:36,57
2018-12-22 00:11:41,00:11:41,56
2018-12-22 00:11:46,00:11:46,55
2018-12-22 00:12:01,00:12:01,55
2018-12-22 00:12:16,00:12:16,55
2018-12-22 00:12:31,00:12:31,53
2018-12-22 00:12:46,00:12:46,52
2018-12-22 00:13:01,00:13:01,53
2018-12-22 00:13:06,00:13:06,54
2018-12-22 00:13:16,00:13:16,53
2018-12-22 00:13:26,00:13:26,52
2018-12-22 00:13:31,00:13:31,51
