,time,value
2018-12-08 00:00:02,00:00:02,60
2018-12-08 00:00:12,00:00:12,59
2018-12-08 00:00:22,00:00:22,60
2018-12-08 00:00:32,00:00:32,62
2018-12-08 00:00:37,00:00:37,63
2018-12-08 00:00:47,00:00:47,62
2018-12-08 00:00:52,00:00:52,62
2018-12-08 00:00:57,00:00:57,61
2018-12-08 00:01:02,00:01:02,62
2018-12-08 00:01:07,00:01:07,61
2018-12-08 00:01:22,00:01:22,61
2018-12-08 00:01:27,00:01:27,62
2018-12-08 00:01:32,00:01:32,63
2018-12-08 00:01:42,00:01:42,62
2018-12-08 00:01:47,00:01:47,61
2018-12-08 00:01:52,00:01:52,59
2018-12-08 00:02:02,00:02:02,60
2018-12-08 00:02:12,00:02:12,62
2018-12-08 00:02:17,00:02:17,63
2018-12-08 00:02:27,00:02:27,62
2018-12-08 00:02:32,00:02:32,61
2018-12-08 00:02:37,00:02:37,62
2018-12-08 00:02:52,00:02:52,61
2018-12-08 00:02:57,00:02:57,60
2018-12-08 00:03:07,00:03:07,59
2018-12-08 00:03:17,00:03:17,60
2018-12-08 00:03:27,00:03:27,61
2018-12-08 00:03:37,00:03:37,60
2018-12-08 00:03:42,00:03:42,58
2018-12-08 00:03:47,00:03:47,57
2018-12-08 00:04:02,00:04:02,57
2018-12-08 00:04:07,00:04:07,58
2018-12-08 00:04:22,00:04:22,58
2018-12-08 00:04:32,00:04:32,60
2018-12-08 00:04:37,00:04:37,61
2018-12-08 00:04:52,00:04:52,61
2018-12-08 00:04:57,00:04:57,63
2018-12-08 00:05:12,00:05:12,63
2018-12-08 00:05:22,00:05:22,62
2018-12-08 00:05:37,00:05:37,62
2018-12-08 00:05:38,00:05:38,62
2018-12-08 00:05:48,00:05:48,61
2018-12-08 00:06:03,00:06:03,62
2018-12-08 00:06:08,00:06:08,63
2018-12-08 00:06:13,00:06:13,65
2018-12-08 00:06:23,00:06:23,66
2018-12-08 00:06:38,00:06:38,64
2018-12-08 00:06:43,00:06:43,62
2018-12-08 00:06:48,00:06:48,61
2018-12-08 00:06:58,00:06:58,62
2018-12-08 00:07:13,00:07:13,62
2018-12-08 00:07:18,00:07:18,63
2018-12-08 00:07:23,00:07:23,66
2018-12-08 00:07:33,00:07:33,65
2018-12-08 00:07:38,00:07:38,61
2018-12-08 00:07:43,00:07:43,60
2018-12-08 00:07:48,00:07:48,59
2018-12-08 00:07:53,00:07:53,60
2018-12-08 00:07:58,00:07:58,59
2018-12-08 00:08:13,00:08:13,60
2018-12-08 00:08:28,00:08:28,60
2018-12-08 00:08:38,00:08:38,59
2018-12-08 00:08:48,00:08:48,61
2018-12-08 00:08:53,00:08:53,62
2018-12-08 00:09:08,00:09:08,63
2018-12-08 00:09:18,00:09:18,64
2018-12-08 00:09:23,00:09:23,63
2018-12-08 00:09:28,00:09:28,63
2018-12-08 00:09:38,00:09:38,64
2018-12-08 00:09:53,00:09:53,64
2018-12-08 00:10:03,00:10:03,63
2018-12-08 00:10:08,00:10:08,60
2018-12-08 00:10:13,00:10:13,58
2018-12-08 00:10:23,00:10:23,59
2018-12-08 00:10:28,00:10:28,60
2018-12-08 00:10:33,00:10:33,62
2018-12-08 00:10:48,00:10:48,62
2018-12-08 00:10:53,00:10:53,61
2018-12-08 00:10:58,00:10:58,60
2018-12-08 00:11:13,00:11:13,61
2018-12-08 00:11:28,00:11:28,61
2018-12-08 00:11:38,00:11:38,62
2018-12-08 00:11:43,00:11:43,63
2018-12-08 00:11:48,00:11:48,64
2018-12-08 00:11:58,00:11:58,62
2018-12-08 00:12:03,00:12:03,61
2018-12-08 00:12:08,00:12:08,59
2018-12-08 00:12:23,00:12:23,59
