,time,value
2018-12-29 00:13:51,00:13:51,70
2018-12-29 00:14:01,00:14:01,71
2018-12-29 00:14:06,00:14:06,76
2018-12-29 00:14:11,00:14:11,76
2018-12-29 00:14:16,00:14:16,75
2018-12-29 00:14:21,00:14:21,68
2018-12-29 00:14:26,00:14:26,69
2018-12-29 00:14:31,00:14:31,72
2018-12-29 00:14:36,00:14:36,70
2018-12-29 00:14:51,00:14:51,69
2018-12-29 00:14:56,00:14:56,71
2018-12-29 00:15:01,00:15:01,75
2018-12-29 00:15:06,00:15:06,78
2018-12-29 00:15:11,00:15:11,75
2018-12-29 00:15:16,00:15:16,70
2018-12-29 00:15:21,00:15:21,63
2018-12-29 00:15:26,00:15:26,60
2018-12-29 00:15:31,00:15:31,62
2018-12-29 00:15:36,00:15:36,63
2018-12-29 00:15:46,00:15:46,64
2018-12-29 00:16:01,00:16:01,64
2018-12-29 00:16:06,00:16:06,65
2018-12-29 00:16:11,00:16:11,66
2018-12-29 00:16:16,00:16:16,68
2018-12-29 00:16:21,00:16:21,67
2018-12-29 00:16:26,00:16:26,66
2018-12-29 00:16:31,00:16:31,65
2018-12-29 00:16:37,00:16:37,65
2018-12-29 00:16:42,00:16:42,65
2018-12-29 00:16:57,00:16:57,65
2018-12-29 00:17:07,00:17:07,67
2018-12-29 00:17:12,00:17:12,72
2018-12-29 00:17:27,00:17:27,72
2018-12-29 00:17:42,00:17:42,73
2018-12-29 00:17:47,00:17:47,74
2018-12-29 00:18:02,00:18:02,75
2018-12-29 00:18:07,00:18:07,76
2018-12-29 00:18:12,00:18:12,77
2018-12-29 00:18:17,00:18:17,79
2018-12-29 00:18:22,00:18:22,78
2018-12-29 00:18:32,00:18:32,79
2018-12-29 00:18:37,00:18:37,81
2018-12-29 00:18:52,00:18:52,68
2018-12-29 00:18:57,00:18:57,65
2018-12-29 00:19:12,00:19:12,65
2018-12-29 00:19:17,00:19:17,70
2018-12-29 00:19:27,00:19:27,71
2018-12-29 00:19:32,00:19:32,72
2018-12-29 00:19:42,00:19:42,71
2018-12-29 00:19:47,00:19:47,70
2018-12-29 00:19:52,00:19:52,71
2018-12-29 00:19:57,00:19:57,76
2018-12-29 00:20:03,00:20:03,76
2018-12-29 00:20:08,00:20:08,72
2018-12-29 00:20:13,00:20:13,68
2018-12-29 00:20:18,00:20:18,65
2018-12-29 00:20:23,00:20:23,67
2018-12-29 00:20:28,00:20:28,68
2018-12-29 00:20:33,00:20:33,66
2018-12-29 00:20:38,00:20:38,63
2018-12-29 00:20:43,00:20:43,61
2018-12-29 00:20:48,00:20:48,61
2018-12-29 00:20:53,00:20:53,62
2018-12-29 00:20:58,00:20:58,68
2018-12-29 00:21:03,00:21:03,70
2018-12-29 00:21:13,00:21:13,66
2018-12-29 00:21:23,00:21:23,65
2018-12-29 00:21:28,00:21:28,59
2018-12-29 00:21:33,00:21:33,54
2018-12-29 00:21:43,00:21:43,57
2018-12-29 00:21:48,00:21:48,57
2018-12-29 00:21:53,00:21:53,56
2018-12-29 00:22:03,00:22:03,58
2018-12-29 00:22:08,00:22:08,62
2018-12-29 00:22:13,00:22:13,63
2018-12-29 00:22:23,00:22:23,62
2018-12-29 00:22:28,00:22:28,60
2018-12-29 00:22:33,00:22:33,59
2018-12-29 00:22:38,00:22:38,58
2018-12-29 00:22:44,00:22:44,58
2018-12-29 00:22:49,00:22:49,60
2018-12-29 00:22:54,00:22:54,62
2018-12-29 00:22:59,00:22:59,63
2018-12-29 00:23:04,00:23:04,64
2018-12-29 00:23:09,00:23:09,65
2018-12-29 00:23:14,00:23:14,64
2018-12-29 00:23:24,00:23:24,65
2018-12-29 00:23:39,00:23:39,66
2018-12-29 00:23:44,00:23:44,67
2018-12-29 00:23:54,00:23:54,68
2018-12-29 00:23:59,00:23:59,72
2018-12-29 00:24:04,00:24:04,73
2018-12-29 00:24:09,00:24:09,79
2018-12-29 00:24:14,00:24:14,76
2018-12-29 00:24:19,00:24:19,72
2018-12-29 00:24:24,00:24:24,69
2018-12-29 00:24:29,00:24:29,69
2018-12-29 00:24:39,00:24:39,71
2018-12-29 00:24:44,00:24:44,77
2018-12-29 00:24:49,00:24:49,75
2018-12-29 00:24:54,00:24:54,74
2018-12-29 00:24:59,00:24:59,70
2018-12-29 00:25:04,00:25:04,65
2018-12-29 00:25:09,00:25:09,59
2018-12-29 00:25:19,00:25:19,60
2018-12-29 00:25:24,00:25:24,62
2018-12-29 00:25:29,00:25:29,65
2018-12-29 00:25:34,00:25:34,67
2018-12-29 00:25:39,00:25:39,69
2018-12-29 00:25:44,00:25:44,70
2018-12-29 00:25:54,00:25:54,69
2018-12-29 00:26:04,00:26:04,68
2018-12-29 00:26:09,00:26:09,68
2018-12-29 00:26:19,00:26:19,68
2018-12-29 00:26:24,00:26:24,67
2018-12-29 00:26:29,00:26:29,65
2018-12-29 00:26:34,00:26:34,64
2018-12-29 00:26:49,00:26:49,64
2018-12-29 00:26:54,00:26:54,71
2018-12-29 00:27:04,00:27:04,70
2018-12-29 00:27:09,00:27:09,67
2018-12-29 00:27:14,00:27:14,64
2018-12-29 00:27:19,00:27:19,63
2018-12-29 00:27:24,00:27:24,65
2018-12-29 00:27:34,00:27:34,64
2018-12-29 00:27:39,00:27:39,63
2018-12-29 00:27:44,00:27:44,62
2018-12-29 00:27:49,00:27:49,61
2018-12-29 00:27:54,00:27:54,62
2018-12-29 00:27:59,00:27:59,66
2018-12-29 00:28:04,00:28:04,69
2018-12-29 00:28:09,00:28:09,67
2018-12-29 00:28:15,00:28:15,65
2018-12-29 00:28:20,00:28:20,63
2018-12-29 00:28:35,00:28:35,63
2018-12-29 00:28:40,00:28:40,64
2018-12-29 00:28:45,00:28:45,66
2018-12-29 00:28:55,00:28:55,64
2018-12-29 00:29:00,00:29:00,62
2018-12-29 00:29:05,00:29:05,61
2018-12-29 00:29:20,00:29:20,61
2018-12-29 00:29:25,00:29:25,62
2018-12-29 00:29:30,00:29:30,63
2018-12-29 00:29:35,00:29:35,64
2018-12-29 00:29:50,00:29:50,64
2018-12-29 00:29:55,00:29:55,67
2018-12-29 00:30:00,00:30:00,69
2018-12-29 00:30:05,00:30:05,67
2018-12-29 00:30:10,00:30:10,64
2018-12-29 00:30:15,00:30:15,61
2018-12-29 00:30:20,00:30:20,59
2018-12-29 00:30:25,00:30:25,58
2018-12-29 00:30:30,00:30:30,59
2018-12-29 00:30:35,00:30:35,58
2018-12-29 00:30:45,00:30:45,59
2018-12-29 00:31:00,00:31:00,59
2018-12-29 00:31:05,00:31:05,60
2018-12-29 00:31:20,00:31:20,60
2018-12-29 00:31:24,00:31:24,59
2018-12-29 00:31:39,00:31:39,60
2018-12-29 00:31:54,00:31:54,60
2018-12-29 00:32:09,00:32:09,58
2018-12-29 00:32:24,00:32:24,59
2018-12-29 00:32:34,00:32:34,60
2018-12-29 00:32:49,00:32:49,59
2018-12-29 00:32:59,00:32:59,58
2018-12-29 00:33:04,00:33:04,57
2018-12-29 00:33:09,00:33:09,56
2018-12-29 00:33:14,00:33:14,55
2018-12-29 00:33:19,00:33:19,56
2018-12-29 00:33:24,00:33:24,57
2018-12-29 00:33:29,00:33:29,58
2018-12-29 00:33:34,00:33:34,59
