,time,value
2018-12-01 00:00:10,00:00:10,49
2018-12-01 00:00:15,00:00:15,48
2018-12-01 00:00:20,00:00:20,49
2018-12-01 00:00:25,00:00:25,50
2018-12-01 00:00:30,00:00:30,51
2018-12-01 00:00:45,00:00:45,50
2018-12-01 00:01:00,00:01:00,50
2018-12-01 00:01:15,00:01:15,50
2018-12-01 00:01:20,00:01:20,51
2018-12-01 00:01:30,00:01:30,50
2018-12-01 00:01:45,00:01:45,51
2018-12-01 00:01:50,00:01:50,50
2018-12-01 00:01:55,00:01:55,49
2018-12-01 00:02:10,00:02:10,48
2018-12-01 00:02:15,00:02:15,49
2018-12-01 00:02:30,00:02:30,49
2018-12-01 00:02:35,00:02:35,50
2018-12-01 00:02:40,00:02:40,49
2018-12-01 00:02:45,00:02:45,50
2018-12-01 00:03:00,00:03:00,50
2018-12-01 00:03:10,00:03:10,51
2018-12-01 00:03:15,00:03:15,54
2018-12-01 00:03:20,00:03:20,53
2018-12-01 00:03:25,00:03:25,51
2018-12-01 00:03:30,00:03:30,50
2018-12-01 00:03:45,00:03:45,51
2018-12-01 00:03:55,00:03:55,50
2018-12-01 00:04:00,00:04:00,49
2018-12-01 00:04:10,00:04:10,50
2018-12-01 00:04:20,00:04:20,49
2018-12-01 00:04:25,00:04:25,49
2018-12-01 00:04:30,00:04:30,49
2018-12-01 00:04:35,00:04:35,48
2018-12-01 00:04:40,00:04:40,48
2018-12-01 00:04:45,00:04:45,51
2018-12-01 00:05:00,00:05:00,51
2018-12-01 00:05:05,00:05:05,51
2018-12-01 00:05:20,00:05:20,51
2018-12-01 00:05:30,00:05:30,51
2018-12-01 00:05:35,00:05:35,49
2018-12-01 00:05:40,00:05:40,49
2018-12-01 00:05:45,00:05:45,48
2018-12-01 00:05:50,00:05:50,47
2018-12-01 00:06:00,00:06:00,46
2018-12-01 00:06:15,00:06:15,46
2018-12-01 00:06:25,00:06:25,47
2018-12-01 00:06:30,00:06:30,47
2018-12-01 00:06:35,00:06:35,49
2018-12-01 00:06:50,00:06:50,49
2018-12-01 00:06:55,00:06:55,48
2018-12-01 00:07:00,00:07:00,50
2018-12-01 00:07:05,00:07:05,49
2018-12-01 00:07:10,00:07:10,48
2018-12-01 00:07:15,00:07:15,47
2018-12-01 00:07:30,00:07:30,47
2018-12-01 00:07:32,00:07:32,47
2018-12-01 00:07:42,00:07:42,48
2018-12-01 00:07:52,00:07:52,49
2018-12-01 00:07:57,00:07:57,48
2018-12-01 00:08:02,00:08:02,48
2018-12-01 00:08:17,00:08:17,48
2018-12-01 00:08:27,00:08:27,46
2018-12-01 00:08:37,00:08:37,47
2018-12-01 00:08:52,00:08:52,47
2018-12-01 00:09:02,00:09:02,46
2018-12-01 00:09:07,00:09:07,47
2018-12-01 00:09:12,00:09:12,46
2018-12-01 00:09:22,00:09:22,47
2018-12-01 00:09:27,00:09:27,48
2018-12-01 00:09:32,00:09:32,49
2018-12-01 00:09:37,00:09:37,47
2018-12-01 00:09:47,00:09:47,48
2018-12-01 00:10:02,00:10:02,48
2018-12-01 00:10:07,00:10:07,48
2018-12-01 00:10:12,00:10:12,47
2018-12-01 00:10:27,00:10:27,47
2018-12-01 00:10:32,00:10:32,48
2018-12-01 00:10:47,00:10:47,48
2018-12-01 00:10:52,00:10:52,50
2018-12-01 00:10:57,00:10:57,49
2018-12-01 00:11:05,00:11:05,48
2018-12-01 00:11:20,00:11:20,48
2018-12-01 00:11:30,00:11:30,47
2018-12-01 00:11:35,00:11:35,46
2018-12-01 00:11:40,00:11:40,47
2018-12-01 00:11:45,00:11:45,48
2018-12-01 00:11:50,00:11:50,48
2018-12-01 00:12:00,00:12:00,48
2018-12-01 00:12:10,00:12:10,47
2018-12-01 00:12:20,00:12:20,48
2018-12-01 00:12:25,00:12:25,48
2018-12-01 00:12:40,00:12:40,48
2018-12-01 00:12:45,00:12:45,47
2018-12-01 00:13:00,00:13:00,46
2018-12-01 00:13:10,00:13:10,47
2018-12-01 00:13:15,00:13:15,48
2018-12-01 00:13:30,00:13:30,50
2018-12-01 00:13:40,00:13:40,48
2018-12-01 00:13:55,00:13:55,48
2018-12-01 00:14:00,00:14:00,49
2018-12-01 00:14:10,00:14:10,47
2018-12-01 00:14:25,00:14:25,46
2018-12-01 00:14:40,00:14:40,46
2018-12-01 00:14:45,00:14:45,47
2018-12-01 00:15:00,00:15:00,47
2018-12-01 00:15:05,00:15:05,49
2018-12-01 00:15:13,00:15:13,48
2018-12-01 00:15:18,00:15:18,47
2018-12-01 00:15:33,00:15:33,47
2018-12-01 00:15:38,00:15:38,46
2018-12-01 00:15:53,00:15:53,46
2018-12-01 00:16:03,00:16:03,45
2018-12-01 00:16:13,00:16:13,46
2018-12-01 00:16:18,00:16:18,47
2018-12-01 00:16:28,00:16:28,49
2018-12-01 00:16:33,00:16:33,48
2018-12-01 00:16:38,00:16:38,46
2018-12-01 00:16:43,00:16:43,45
2018-12-01 00:16:58,00:16:58,44
2018-12-01 00:17:03,00:17:03,45
2018-12-01 00:17:13,00:17:13,46
2018-12-01 00:17:28,00:17:28,47
2018-12-01 00:17:33,00:17:33,46
2018-12-01 00:17:43,00:17:43,47
2018-12-01 00:17:58,00:17:58,47
2018-12-01 00:18:03,00:18:03,47
2018-12-01 00:18:08,00:18:08,46
2018-12-01 00:18:18,00:18:18,45
2018-12-01 00:18:28,00:18:28,44
2018-12-01 00:18:33,00:18:33,45
2018-12-01 00:18:38,00:18:38,46
2018-12-01 00:18:53,00:18:53,46
2018-12-01 00:19:00,00:19:00,46
2018-12-01 00:19:15,00:19:15,45
2018-12-01 00:19:30,00:19:30,46
2018-12-01 00:19:45,00:19:45,46
2018-12-01 00:20:00,00:20:00,46
2018-12-01 00:20:15,00:20:15,46
2018-12-01 00:20:20,00:20:20,47
2018-12-01 00:20:30,00:20:30,46
2018-12-01 00:20:35,00:20:35,45
2018-12-01 00:20:50,00:20:50,45
2018-12-01 00:21:05,00:21:05,45
2018-12-01 00:21:20,00:21:20,46
2018-12-01 00:21:25,00:21:25,47
2018-12-01 00:21:30,00:21:30,46
2018-12-01 00:21:35,00:21:35,45
2018-12-01 00:21:40,00:21:40,46
2018-12-01 00:21:45,00:21:45,47
2018-12-01 00:21:55,00:21:55,46
2018-12-01 00:22:05,00:22:05,47
2018-12-01 00:22:20,00:22:20,47
