,value,value,value,value,value,value,value,value
1177,49.0,48.0,49.0,47.0,52.0,54.0,45.0,46
1178,46.0,47.0,51.0,49.0,52.0,55.0,44.0,46
1179,45.0,46.0,54.0,48.0,51.0,53.0,43.0,45
1180,46.0,45.0,52.0,49.0,52.0,52.0,43.0,44
1181,47.0,45.0,51.0,48.0,52.0,51.0,45.0,44
1182,48.0,46.0,49.0,47.0,52.0,52.0,47.0,45
1183,47.0,46.0,50.0,48.0,52.0,53.0,49.0,46
1184,49.0,46.0,51.0,50.0,51.0,52.0,48.0,45
1185,50.0,46.0,52.0,50.0,52.0,53.0,45.0,45
1186,48.0,45.0,54.0,49.0,52.0,51.0,44.0,46
1187,46.0,45.0,55.0,48.0,52.0,52.0,43.0,45
1188,47.0,46.0,55.0,49.0,52.0,54.0,43.0,45
1189,49.0,47.0,54.0,48.0,53.0,52.0,42.0,46
1190,50.0,46.0,54.0,49.0,52.0,53.0,45.0,47
1191,49.0,45.0,63.0,48.0,51.0,51.0,47.0,47
1192,48.0,46.0,67.0,48.0,52.0,50.0,48.0,46
1193,47.0,47.0,65.0,48.0,53.0,51.0,47.0,46
1194,46.0,46.0,58.0,49.0,52.0,54.0,45.0,45
1195,47.0,46.0,55.0,48.0,51.0,57.0,44.0,46
1196,48.0,47.0,54.0,47.0,52.0,53.0,44.0,45
1197,49.0,46.0,50.0,48.0,53.0,50.0,43.0,46
1198,48.0,46.0,49.0,47.0,52.0,51.0,43.0,45
1199,46.0,46.0,47.0,46.0,51.0,51.0,42.0,44
1200,47.0,45.0,46.0,47.0,52.0,52.0,43.0,45
1201,46.0,45.0,45.0,48.0,53.0,53.0,44.0,46
1202,47.0,46.0,44.0,47.0,54.0,52.0,44.0,45
1203,47.0,45.0,45.0,48.0,53.0,53.0,45.0,44
1204,47.0,44.0,46.0,49.0,52.0,52.0,46.0,46
1205,47.0,45.0,45.0,48.0,53.0,51.0,56.0,47
1206,46.0,46.0,48.0,47.0,54.0,51.0,57.0,46
1207,49.0,46.0,52.0,46.0,52.0,53.0,53.0,45
1208,49.0,45.0,58.0,47.0,51.0,52.0,50.0,46
1209,47.0,45.0,61.0,49.0,52.0,51.0,46.0,48
1210,46.0,46.0,63.0,48.0,52.0,52.0,44.0,46
1211,47.0,45.0,60.0,48.0,51.0,53.0,44.0,46
1212,48.0,46.0,59.0,48.0,52.0,53.0,43.0,45
1213,49.0,45.0,59.0,49.0,53.0,53.0,43.0,46
1214,48.0,46.0,53.0,48.0,52.0,55.0,44.0,45
1215,47.0,45.0,50.0,47.0,52.0,54.0,43.0,46
1216,47.0,45.0,48.0,46.0,51.0,53.0,42.0,46
1217,46.0,46.0,46.0,47.0,51.0,52.0,43.0,45
1218,46.0,45.0,46.0,48.0,52.0,51.0,44.0,46
1219,47.0,46.0,46.0,49.0,53.0,52.0,45.0,45
1220,48.0,45.0,48.0,49.0,52.0,53.0,47.0,44
1221,47.0,44.0,49.0,48.0,53.0,52.0,45.0,45
1222,48.0,45.0,47.0,46.0,54.0,53.0,44.0,46
1223,47.0,46.0,47.0,47.0,55.0,53.0,43.0,45
1224,48.0,45.0,48.0,48.0,54.0,52.0,42.0,46
1225,47.0,45.0,48.0,47.0,53.0,53.0,43.0,45
1226,47.0,44.0,47.0,47.0,52.0,52.0,43.0,45
1227,48.0,45.0,48.0,48.0,52.0,52.0,43.0,44
1228,47.0,45.0,49.0,49.0,53.0,53.0,44.0,45
1229,48.0,45.0,49.0,50.0,52.0,53.0,46.0,45
1230,48.0,44.0,49.0,49.0,53.0,54.0,45.0,45
1231,47.0,44.0,51.0,47.0,52.0,53.0,44.0,44
1232,48.0,45.0,50.0,46.0,52.0,54.0,44.0,45
1233,47.0,45.0,52.0,47.0,53.0,55.0,43.0,44
1234,46.0,44.0,50.0,47.0,52.0,54.0,43.0,44
1235,50.0,44.0,51.0,48.0,53.0,53.0,44.0,45
1236,54.0,45.0,52.0,48.0,53.0,52.0,45.0,45
1237,53.0,44.0,49.0,47.0,52.0,53.0,44.0,45
1238,50.0,43.0,46.0,48.0,52.0,54.0,43.0,44
1239,47.0,42.0,45.0,48.0,52.0,53.0,42.0,45
1240,50.0,44.0,46.0,48.0,53.0,52.0,41.0,46
1241,48.0,44.0,45.0,49.0,54.0,51.0,42.0,46
1242,46.0,43.0,46.0,49.0,53.0,52.0,44.0,45
1243,44.0,43.0,47.0,48.0,52.0,53.0,43.0,46
1244,46.0,44.0,48.0,48.0,53.0,53.0,42.0,45
1245,48.0,43.0,48.0,47.0,52.0,52.0,43.0,45
1246,47.0,44.0,47.0,48.0,52.0,51.0,42.0,44
1247,48.0,45.0,47.0,47.0,53.0,52.0,44.0,45
1248,49.0,44.0,48.0,48.0,53.0,53.0,43.0,45
1249,50.0,43.0,49.0,49.0,52.0,52.0,44.0,45
1250,51.0,44.0,47.0,48.0,53.0,52.0,43.0,45
1251,49.0,45.0,46.0,47.0,52.0,53.0,43.0,44
1252,47.0,45.0,46.0,48.0,53.0,52.0,42.0,44
1253,46.0,45.0,47.0,49.0,53.0,51.0,43.0,45
1254,47.0,44.0,48.0,48.0,58.0,51.0,43.0,46
1255,48.0,44.0,50.0,47.0,60.0,53.0,42.0,47
1256,47.0,44.0,51.0,48.0,59.0,54.0,43.0,46
1257,46.0,44.0,50.0,48.0,64.0,51.0,44.0,45
1258,46.0,45.0,51.0,48.0,66.0,52.0,43.0,44
1259,48.0,46.0,51.0,49.0,65.0,52.0,44.0,45
1260,49.0,45.0,50.0,48.0,62.0,52.0,45.0,46
1261,47.0,44.0,48.0,47.0,59.0,55.0,47.0,45
1262,46.0,45.0,49.0,48.0,57.0,58.0,48.0,47
1263,46.0,45.0,50.0,48.0,55.0,59.0,46.0,48
1264,47.0,44.0,49.0,48.0,51.0,58.0,45.0,47
1265,47.0,44.0,48.0,49.0,50.0,54.0,44.0,46
1266,48.0,45.0,47.0,47.0,49.0,51.0,43.0,45
1267,48.0,44.0,47.0,47.0,49.0,50.0,43.0,46
1268,48.0,44.0,56.0,48.0,50.0,50.0,44.0,45
1269,46.0,45.0,65.0,49.0,51.0,51.0,45.0,45
1270,45.0,44.0,62.0,48.0,53.0,50.0,47.0,46
1271,44.0,44.0,56.0,48.0,54.0,49.0,50.0,47
1272,45.0,43.0,50.0,48.0,53.0,50.0,47.0,46
1273,46.0,42.0,47.0,49.0,52.0,51.0,48.0,45
1274,48.0,43.0,49.0,48.0,53.0,50.0,52.0,44
1275,49.0,44.0,54.0,48.0,54.0,52.0,55.0,44
1276,47.0,44.0,56.0,48.0,53.0,51.0,52.0,45
1277,45.0,44.0,57.0,47.0,54.0,52.0,51.0,45
1278,46.0,44.0,52.0,46.0,53.0,53.0,49.0,44
1279,47.0,44.0,48.0,47.0,51.0,52.0,45.0,47
1280,48.0,44.0,47.0,48.0,50.0,51.0,44.0,46
1281,48.0,43.0,48.0,48.0,50.0,52.0,43.0,46
1282,47.0,43.0,49.0,48.0,50.0,53.0,43.0,46
1283,46.0,44.0,48.0,50.0,52.0,52.0,42.0,64
1284,47.0,45.0,49.0,49.0,54.0,51.0,42.0,65
1285,48.0,46.0,50.0,48.0,53.0,52.0,43.0,63
1286,49.0,51.0,49.0,47.0,52.0,53.0,45.0,62
1287,48.0,65.0,48.0,48.0,52.0,52.0,44.0,63
1288,49.0,66.0,48.0,47.0,53.0,52.0,43.0,62
1289,48.0,65.0,49.0,47.0,54.0,53.0,42.0,61
1290,47.0,64.0,47.0,48.0,55.0,54.0,43.0,54
1291,48.0,63.0,48.0,49.0,56.0,53.0,44.0,55
1292,46.0,64.0,49.0,47.0,55.0,52.0,43.0,49
1293,47.0,64.0,50.0,46.0,53.0,52.0,44.0,48
1294,46.0,64.0,49.0,47.0,51.0,52.0,45.0,47
1295,47.0,64.0,47.0,46.0,52.0,52.0,46.0,48
1296,48.0,63.0,46.0,48.0,51.0,51.0,45.0,46
1297,47.0,61.0,45.0,48.0,52.0,51.0,44.0,45
1298,47.0,58.0,45.0,47.0,53.0,52.0,46.0,46
1299,46.0,56.0,46.0,48.0,53.0,53.0,48.0,49
1300,47.0,55.0,49.0,48.0,54.0,52.0,50.0,48
1301,46.0,54.0,51.0,47.0,53.0,51.0,48.0,48
1302,47.0,53.0,53.0,48.0,54.0,50.0,46.0,47
1303,48.0,50.0,50.0,48.0,53.0,51.0,44.0,49
1304,47.0,50.0,49.0,47.0,53.0,52.0,44.0,48
1305,48.0,52.0,48.0,48.0,54.0,53.0,45.0,47
1306,47.0,57.0,47.0,48.0,55.0,52.0,44.0,46
1307,47.0,60.0,49.0,47.0,54.0,51.0,43.0,45
1308,48.0,62.0,50.0,48.0,53.0,52.0,43.0,45
1309,47.0,63.0,52.0,47.0,54.0,53.0,44.0,46
1310,46.0,63.0,53.0,46.0,55.0,52.0,44.0,47
1311,47.0,64.0,53.0,48.0,54.0,52.0,43.0,45
1312,48.0,64.0,52.0,47.0,54.0,52.0,44.0,44
1313,47.0,64.0,51.0,47.0,56.0,52.0,47.0,45
1314,47.0,63.0,49.0,48.0,54.0,52.0,48.0,49
1315,46.0,59.0,47.0,48.0,54.0,53.0,49.0,50
1316,47.0,56.0,45.0,47.0,53.0,60.0,53.0,48
1317,47.0,54.0,46.0,46.0,54.0,62.0,52.0,45
1318,45.0,52.0,48.0,47.0,55.0,59.0,50.0,46
1319,47.0,50.0,49.0,48.0,54.0,53.0,48.0,49
1320,47.0,48.0,50.0,48.0,55.0,52.0,47.0,55
1321,46.0,46.0,51.0,48.0,56.0,53.0,47.0,63
1322,45.0,47.0,52.0,48.0,55.0,54.0,49.0,61
1323,45.0,50.0,51.0,47.0,52.0,67.0,48.0,57
1324,46.0,52.0,51.0,48.0,51.0,73.0,47.0,51
1325,47.0,51.0,50.0,48.0,50.0,65.0,46.0,49
1326,48.0,50.0,49.0,47.0,51.0,57.0,43.0,46
1327,49.0,46.0,50.0,48.0,52.0,53.0,43.0,45
1328,48.0,45.0,49.0,48.0,52.0,51.0,44.0,46
1329,46.0,44.0,48.0,48.0,56.0,49.0,45.0,45
1330,47.0,45.0,49.0,46.0,58.0,51.0,46.0,46
1331,50.0,47.0,48.0,47.0,59.0,53.0,45.0,49
1332,49.0,46.0,47.0,46.0,61.0,52.0,44.0,50
1333,48.0,46.0,47.0,46.0,77.0,54.0,45.0,48
1334,49.0,45.0,49.0,48.0,82.0,55.0,46.0,47
1335,49.0,44.0,48.0,46.0,81.0,56.0,46.0,45
1336,46.0,44.0,48.0,47.0,74.0,55.0,46.0,45
1337,45.0,46.0,48.0,48.0,67.0,54.0,46.0,44
1338,48.0,45.0,47.0,48.0,68.0,53.0,48.0,46
1339,49.0,44.0,48.0,47.0,61.0,54.0,46.0,45
1340,47.0,44.0,50.0,47.0,56.0,56.0,44.0,47
1341,45.0,43.0,51.0,47.0,54.0,55.0,44.0,46
1342,44.0,44.0,50.0,48.0,55.0,54.0,43.0,45
1343,46.0,44.0,48.0,47.0,56.0,55.0,42.0,45
1344,47.0,43.0,50.0,48.0,60.0,54.0,43.0,46
1345,48.0,45.0,48.0,47.0,64.0,53.0,45.0,47
1346,48.0,44.0,51.0,48.0,64.0,53.0,44.0,48
1347,47.0,44.0,52.0,47.0,65.0,55.0,44.0,47
1348,46.0,43.0,51.0,48.0,65.0,54.0,44.0,46
1349,47.0,43.0,50.0,47.0,57.0,53.0,43.0,45
1350,48.0,43.0,51.0,46.0,53.0,53.0,44.0,44
1351,50.0,42.0,51.0,47.0,54.0,56.0,45.0,45
1352,51.0,42.0,53.0,46.0,55.0,57.0,44.0,46
1353,47.0,45.0,54.0,46.0,54.0,61.0,45.0,45
1354,46.0,44.0,58.0,47.0,55.0,63.0,46.0,46
1355,46.0,43.0,71.0,48.0,54.0,61.0,48.0,48
1356,47.0,44.0,72.0,49.0,59.0,58.0,47.0,49
1357,46.0,45.0,69.0,48.0,60.0,54.0,45.0,47
1358,46.0,45.0,63.0,48.0,61.0,55.0,44.0,45
1359,45.0,44.0,57.0,49.0,72.0,53.0,44.0,44
1360,47.0,44.0,52.0,53.0,74.0,54.0,45.0,45
1361,46.0,43.0,51.0,64.0,71.0,53.0,46.0,46
1362,47.0,43.0,49.0,65.0,69.0,52.0,48.0,48
1363,48.0,46.0,48.0,60.0,69.0,53.0,49.0,47
1364,49.0,45.0,47.0,56.0,76.0,52.0,48.0,46
1365,48.0,44.0,47.0,57.0,77.0,53.0,46.0,46
1366,45.0,43.0,48.0,56.0,73.0,55.0,44.0,46
1367,45.0,43.0,49.0,53.0,69.0,53.0,43.0,45
1368,46.0,44.0,50.0,52.0,62.0,54.0,43.0,45
1369,47.0,45.0,49.0,54.0,57.0,55.0,45.0,46
1370,46.0,44.0,50.0,52.0,55.0,53.0,46.0,45
1371,45.0,43.0,51.0,50.0,58.0,54.0,45.0,46
1372,47.0,43.0,50.0,51.0,58.0,54.0,44.0,45
1373,48.0,43.0,49.0,54.0,57.0,52.0,45.0,44
1374,49.0,42.0,48.0,56.0,55.0,56.0,48.0,45
1375,52.0,44.0,47.0,62.0,54.0,54.0,49.0,46
1376,50.0,43.0,47.0,72.0,55.0,52.0,48.0,45
1377,46.0,42.0,47.0,71.0,56.0,50.0,47.0,44
1378,45.0,43.0,48.0,65.0,57.0,50.0,46.0,44
1379,46.0,42.0,49.0,60.0,56.0,51.0,45.0,45
1380,47.0,43.0,48.0,56.0,57.0,51.0,44.0,46
1381,48.0,44.0,46.0,53.0,57.0,53.0,44.0,47
1382,48.0,44.0,45.0,54.0,57.0,54.0,47.0,46
1383,47.0,43.0,44.0,53.0,56.0,56.0,47.0,46
1384,45.0,44.0,45.0,50.0,57.0,54.0,45.0,45
1385,46.0,43.0,47.0,48.0,56.0,52.0,44.0,46
1386,48.0,43.0,49.0,50.0,54.0,51.0,44.0,45
1387,47.0,42.0,48.0,52.0,52.0,53.0,45.0,44
1388,47.0,42.0,48.0,51.0,53.0,55.0,45.0,45
1389,46.0,44.0,47.0,48.0,53.0,54.0,45.0,46
1390,48.0,43.0,46.0,47.0,54.0,53.0,46.0,47
1391,50.0,44.0,47.0,48.0,56.0,55.0,48.0,45
1392,47.0,44.0,46.0,49.0,57.0,54.0,52.0,46
1393,46.0,45.0,46.0,53.0,58.0,52.0,50.0,45
1394,47.0,46.0,49.0,52.0,55.0,51.0,47.0,44
1395,48.0,47.0,51.0,49.0,53.0,52.0,46.0,44
1396,47.0,56.0,52.0,50.0,55.0,53.0,44.0,44
1397,48.0,58.0,49.0,54.0,56.0,54.0,45.0,45
1398,47.0,55.0,49.0,52.0,55.0,53.0,46.0,46
1399,46.0,52.0,48.0,48.0,53.0,52.0,47.0,44
1400,47.0,55.0,47.0,48.0,52.0,52.0,45.0,45
1401,48.0,56.0,47.0,49.0,53.0,54.0,44.0,45
1402,48.0,54.0,47.0,51.0,55.0,55.0,43.0,45
1403,51.0,50.0,47.0,54.0,56.0,53.0,43.0,46
1404,49.0,49.0,47.0,55.0,58.0,53.0,46.0,45
1405,47.0,48.0,46.0,52.0,59.0,53.0,47.0,45
1406,46.0,46.0,48.0,51.0,57.0,54.0,46.0,44
1407,47.0,45.0,48.0,52.0,55.0,55.0,48.0,46
1408,45.0,43.0,48.0,54.0,54.0,56.0,56.0,46
1409,47.0,44.0,47.0,62.0,55.0,57.0,49.0,44
1410,49.0,45.0,46.0,65.0,56.0,56.0,46.0,46
1411,48.0,44.0,46.0,64.0,59.0,54.0,46.0,44
1412,47.0,43.0,46.0,61.0,60.0,53.0,45.0,44
1413,46.0,42.0,47.0,59.0,59.0,53.0,44.0,43
1414,47.0,42.0,47.0,53.0,58.0,53.0,45.0,44
1415,48.0,42.0,46.0,51.0,55.0,53.0,46.0,45
1416,46.0,41.0,47.0,49.0,55.0,54.0,45.0,46
1417,47.0,41.0,47.0,49.0,57.0,55.0,44.0,45
1418,47.0,41.0,45.0,49.0,56.0,57.0,43.0,46
1419,47.0,41.0,46.0,50.0,56.0,58.0,43.0,45
1420,47.0,44.0,47.0,51.0,57.0,57.0,45.0,45
1421,50.0,47.0,48.0,52.0,58.0,56.0,44.0,44
1422,51.0,46.0,50.0,51.0,55.0,55.0,43.0,44
1423,52.0,45.0,49.0,50.0,56.0,54.0,43.0,45
1424,53.0,44.0,47.0,51.0,57.0,55.0,43.0,46
1425,52.0,46.0,46.0,52.0,57.0,57.0,43.0,45
1426,53.0,45.0,47.0,50.0,58.0,58.0,42.0,47
1427,54.0,44.0,48.0,49.0,61.0,57.0,42.0,45
1428,55.0,43.0,47.0,50.0,65.0,56.0,42.0,44
1429,52.0,43.0,46.0,49.0,64.0,54.0,42.0,44
1430,50.0,42.0,45.0,49.0,65.0,55.0,44.0,45
1431,49.0,42.0,46.0,50.0,62.0,56.0,45.0,44
1432,48.0,42.0,47.0,51.0,58.0,57.0,45.0,44
1433,47.0,41.0,47.0,50.0,55.0,58.0,43.0,44
1434,48.0,41.0,47.0,50.0,56.0,59.0,43.0,46
1435,50.0,41.0,48.0,51.0,57.0,58.0,42.0,45
1436,51.0,41.0,48.0,52.0,58.0,57.0,43.0,44
1437,53.0,41.0,48.0,53.0,61.0,57.0,43.0,45
1438,54.0,42.0,49.0,52.0,63.0,58.0,44.0,44
1439,53.0,42.0,48.0,51.0,64.0,61.0,43.0,43
1440,53.0,42.0,47.0,49.0,63.0,63.0,45.0,44
1441,54.0,42.0,47.0,48.0,62.0,65.0,46.0,45
1442,52.0,41.0,46.0,48.0,61.0,66.0,45.0,46
1443,51.0,42.0,47.0,50.0,60.0,64.0,46.0,45
1444,52.0,42.0,49.0,52.0,58.0,61.0,45.0,45
1445,53.0,41.0,48.0,54.0,59.0,57.0,44.0,45
1446,52.0,41.0,47.0,55.0,58.0,55.0,46.0,44
1447,53.0,41.0,47.0,54.0,56.0,54.0,47.0,45
1448,54.0,41.0,46.0,53.0,56.0,54.0,53.0,44
1449,55.0,41.0,45.0,52.0,57.0,51.0,61.0,45
1450,57.0,41.0,46.0,51.0,56.0,50.0,57.0,44
1451,58.0,41.0,47.0,49.0,55.0,49.0,52.0,45
1452,59.0,41.0,47.0,48.0,56.0,50.0,51.0,44
1453,60.0,42.0,48.0,49.0,58.0,51.0,50.0,44
1454,68.0,41.0,47.0,48.0,63.0,52.0,48.0,43
1455,77.0,42.0,47.0,49.0,60.0,55.0,47.0,44
1456,78.0,41.0,47.0,49.0,59.0,57.0,46.0,45
1457,77.0,41.0,48.0,50.0,57.0,61.0,45.0,45
1458,67.0,41.0,47.0,51.0,56.0,60.0,44.0,44
1459,57.0,41.0,46.0,52.0,56.0,58.0,43.0,44
1460,51.0,41.0,47.0,55.0,54.0,57.0,43.0,44
1461,47.0,41.0,48.0,59.0,53.0,56.0,44.0,45
1462,45.0,41.0,47.0,60.0,53.0,55.0,45.0,44
1463,44.0,41.0,47.0,57.0,55.0,55.0,44.0,45
1464,44.0,42.0,47.0,55.0,56.0,55.0,45.0,44
1465,47.0,42.0,46.0,53.0,58.0,57.0,44.0,45
1466,48.0,41.0,47.0,50.0,60.0,61.0,44.0,44
1467,47.0,41.0,48.0,49.0,61.0,64.0,43.0,45
1468,48.0,41.0,46.0,48.0,60.0,65.0,42.0,44
1469,49.0,41.0,45.0,49.0,59.0,64.0,41.0,44
1470,49.0,42.0,45.0,48.0,60.0,63.0,41.0,44
1471,50.0,41.0,44.0,47.0,62.0,61.0,41.0,45
1472,50.0,41.0,45.0,47.0,63.0,64.0,41.0,46
1473,49.0,41.0,46.0,48.0,62.0,66.0,41.0,46
1474,48.0,41.0,47.0,50.0,61.0,72.0,44.0,45
1475,48.0,41.0,46.0,53.0,60.0,75.0,45.0,44
1476,49.0,41.0,45.0,54.0,59.0,73.0,46.0,44
1477,48.0,42.0,46.0,54.0,59.0,67.0,46.0,44
1478,46.0,43.0,47.0,53.0,58.0,62.0,44.0,44
1479,46.0,42.0,48.0,53.0,59.0,56.0,44.0,45
1480,46.0,42.0,49.0,52.0,61.0,54.0,53.0,45
1481,47.0,41.0,48.0,52.0,60.0,53.0,51.0,50
1482,48.0,41.0,46.0,55.0,60.0,52.0,48.0,69
1483,48.0,42.0,45.0,56.0,60.0,50.0,46.0,73
1484,47.0,41.0,46.0,55.0,61.0,49.0,45.0,69
1485,48.0,41.0,45.0,54.0,60.0,50.0,44.0,63
1486,49.0,41.0,46.0,52.0,57.0,51.0,43.0,55
1487,50.0,44.0,45.0,51.0,56.0,53.0,42.0,58
1488,52.0,43.0,46.0,52.0,56.0,55.0,42.0,53
1489,56.0,42.0,45.0,53.0,57.0,56.0,43.0,50
1490,60.0,42.0,44.0,54.0,58.0,58.0,43.0,46
1491,59.0,41.0,46.0,56.0,59.0,61.0,42.0,45
1492,55.0,41.0,46.0,60.0,58.0,60.0,41.0,44
1493,51.0,41.0,48.0,56.0,57.0,61.0,41.0,45
1494,49.0,42.0,47.0,53.0,58.0,62.0,42.0,49
1495,48.0,41.0,46.0,51.0,59.0,63.0,43.0,48
1496,47.0,41.0,46.0,50.0,58.0,64.0,44.0,46
1497,47.0,41.0,45.0,49.0,57.0,63.0,43.0,47
1498,47.0,43.0,45.0,50.0,55.0,64.0,43.0,48
1499,48.0,43.0,46.0,51.0,56.0,63.0,44.0,47
1500,47.0,42.0,46.0,52.0,58.0,63.0,45.0,46
1501,48.0,43.0,45.0,51.0,61.0,66.0,44.0,47
1502,49.0,43.0,45.0,50.0,64.0,67.0,45.0,46
1503,54.0,42.0,45.0,49.0,67.0,66.0,44.0,48
1504,56.0,42.0,45.0,48.0,68.0,64.0,43.0,46
1505,57.0,41.0,46.0,47.0,66.0,63.0,43.0,45
1506,64.0,41.0,47.0,48.0,64.0,61.0,44.0,47
1507,68.0,41.0,46.0,48.0,62.0,59.0,45.0,46
1508,65.0,41.0,45.0,49.0,60.0,56.0,44.0,45
1509,60.0,42.0,44.0,50.0,59.0,55.0,43.0,46
1510,58.0,41.0,45.0,49.0,58.0,54.0,45.0,46
1511,54.0,41.0,46.0,48.0,58.0,54.0,46.0,47
1512,50.0,41.0,45.0,47.0,58.0,55.0,45.0,48
1513,51.0,41.0,45.0,48.0,57.0,54.0,44.0,47
1514,51.0,41.0,46.0,50.0,58.0,55.0,43.0,46
1515,51.0,41.0,45.0,51.0,59.0,55.0,44.0,47
1516,52.0,41.0,45.0,51.0,58.0,54.0,43.0,47
1517,53.0,41.0,44.0,53.0,59.0,55.0,44.0,48
1518,56.0,41.0,45.0,54.0,58.0,56.0,43.0,47
1519,55.0,41.0,44.0,55.0,58.0,58.0,42.0,48
1520,53.0,41.0,43.0,53.0,57.0,61.0,44.0,47
1521,50.0,41.0,44.0,51.0,59.0,62.0,45.0,48
1522,49.0,43.0,44.0,49.0,60.0,64.0,44.0,47
1523,50.0,44.0,44.0,49.0,60.0,62.0,46.0,48
1524,52.0,43.0,46.0,48.0,59.0,59.0,47.0,49
1525,53.0,42.0,45.0,49.0,60.0,57.0,46.0,48
1526,54.0,41.0,46.0,50.0,62.0,56.0,45.0,45
1527,53.0,41.0,48.0,49.0,65.0,59.0,44.0,46
1528,51.0,42.0,47.0,48.0,67.0,60.0,43.0,46
1529,50.0,44.0,47.0,50.0,69.0,58.0,44.0,47
1530,51.0,45.0,52.0,52.0,68.0,57.0,45.0,48
1531,52.0,45.0,69.0,51.0,68.0,58.0,43.0,49
1532,53.0,44.0,74.0,49.0,70.0,59.0,44.0,50
1533,52.0,43.0,72.0,48.0,86.0,58.0,45.0,48
1534,53.0,42.0,69.0,49.0,93.0,57.0,44.0,46
1535,52.0,41.0,66.0,49.0,92.0,55.0,43.0,45
1536,51.0,41.0,64.0,48.0,90.0,54.0,42.0,47
1537,52.0,41.0,64.0,47.0,87.0,54.0,43.0,48
1538,52.0,41.0,64.0,48.0,86.0,55.0,44.0,46
1539,53.0,41.0,62.0,49.0,86.0,53.0,45.0,47
1540,52.0,41.0,56.0,50.0,83.0,54.0,44.0,53
1541,51.0,41.0,53.0,49.0,78.0,55.0,44.0,56
1542,50.0,41.0,48.0,51.0,64.0,56.0,43.0,60
1543,51.0,42.0,50.0,53.0,53.0,55.0,44.0,63
1544,52.0,42.0,53.0,50.0,53.0,56.0,46.0,61
1545,65.0,42.0,52.0,49.0,55.0,55.0,45.0,56
1546,69.0,42.0,50.0,48.0,54.0,54.0,44.0,52
1547,66.0,42.0,45.0,49.0,55.0,53.0,43.0,49
1548,60.0,42.0,44.0,49.0,54.0,54.0,42.0,48
1549,55.0,41.0,45.0,50.0,52.0,55.0,42.0,47
1550,51.0,41.0,44.0,50.0,53.0,54.0,44.0,47
1551,49.0,41.0,46.0,50.0,54.0,56.0,45.0,47
1552,48.0,40.0,46.0,49.0,55.0,54.0,46.0,47
1553,47.0,40.0,45.0,47.0,56.0,55.0,47.0,49
1554,48.0,42.0,46.0,46.0,58.0,54.0,46.0,50
1555,49.0,43.0,45.0,47.0,57.0,53.0,44.0,50
1556,51.0,44.0,44.0,48.0,55.0,54.0,43.0,49
1557,50.0,43.0,44.0,47.0,53.0,55.0,42.0,48
1558,49.0,42.0,46.0,48.0,52.0,54.0,42.0,49
1559,50.0,41.0,45.0,50.0,53.0,54.0,43.0,50
1560,52.0,42.0,46.0,51.0,54.0,53.0,44.0,51
1561,53.0,42.0,47.0,50.0,55.0,53.0,44.0,52
1562,54.0,41.0,46.0,49.0,56.0,52.0,43.0,53
1563,53.0,44.0,45.0,49.0,57.0,52.0,42.0,55
1564,56.0,46.0,44.0,49.0,55.0,52.0,43.0,52
1565,60.0,47.0,45.0,48.0,54.0,54.0,44.0,50
1566,68.0,51.0,46.0,47.0,55.0,53.0,43.0,48
1567,66.0,52.0,45.0,47.0,56.0,51.0,43.0,47
1568,59.0,53.0,46.0,49.0,56.0,54.0,44.0,48
1569,53.0,52.0,45.0,50.0,56.0,50.0,45.0,49
1570,49.0,49.0,44.0,49.0,54.0,49.0,45.0,48
1571,48.0,47.0,45.0,49.0,52.0,50.0,44.0,50
1572,47.0,46.0,44.0,49.0,53.0,51.0,43.0,49
1573,48.0,45.0,44.0,48.0,54.0,52.0,46.0,50
1574,48.0,44.0,43.0,48.0,52.0,53.0,47.0,51
1575,50.0,46.0,44.0,49.0,53.0,55.0,44.0,52
1576,50.0,45.0,44.0,48.0,54.0,56.0,43.0,54
1577,49.0,45.0,43.0,49.0,53.0,55.0,42.0,53
1578,48.0,44.0,44.0,50.0,54.0,54.0,43.0,52
1579,49.0,45.0,43.0,51.0,53.0,53.0,42.0,50
1580,49.0,46.0,45.0,52.0,53.0,52.0,42.0,48
1581,49.0,45.0,47.0,53.0,55.0,52.0,43.0,47
1582,50.0,44.0,46.0,54.0,56.0,53.0,42.0,46
1583,51.0,44.0,45.0,56.0,58.0,54.0,44.0,47
1584,52.0,44.0,44.0,58.0,55.0,53.0,45.0,49
1585,53.0,45.0,44.0,57.0,54.0,51.0,44.0,51
1586,52.0,44.0,45.0,56.0,54.0,51.0,43.0,53
1587,51.0,44.0,44.0,54.0,56.0,52.0,42.0,54
1588,50.0,44.0,44.0,53.0,55.0,52.0,42.0,51
1589,51.0,43.0,43.0,52.0,54.0,54.0,42.0,51
1590,52.0,43.0,43.0,50.0,53.0,51.0,41.0,52
1591,53.0,42.0,44.0,49.0,52.0,50.0,41.0,53
1592,57.0,43.0,45.0,48.0,54.0,53.0,42.0,52
1593,60.0,44.0,44.0,49.0,53.0,55.0,43.0,53
1594,58.0,45.0,44.0,50.0,52.0,55.0,45.0,55
1595,55.0,50.0,44.0,51.0,53.0,54.0,46.0,58
1596,53.0,52.0,45.0,53.0,54.0,53.0,45.0,60
1597,52.0,53.0,45.0,52.0,53.0,52.0,44.0,60
1598,50.0,52.0,44.0,50.0,52.0,53.0,43.0,62
1599,49.0,52.0,43.0,49.0,53.0,54.0,42.0,60
