,value,value,value,value,value,value,value,value
99,49.0,61.0,47.0,54.0,75.0,66.0,71.0,60
100,47.0,61.0,48.0,53.0,74.0,65.0,72.0,61
101,46.0,61.0,49.0,52.0,70.0,66.0,73.0,63
102,46.0,62.0,50.0,51.0,65.0,67.0,72.0,65
103,47.0,63.0,49.0,51.0,59.0,64.0,73.0,66
104,47.0,65.0,48.0,51.0,60.0,63.0,74.0,67
105,49.0,64.0,47.0,52.0,62.0,64.0,70.0,68
106,48.0,58.0,47.0,52.0,65.0,65.0,62.0,69
107,47.0,57.0,48.0,55.0,67.0,67.0,59.0,67
108,47.0,58.0,49.0,54.0,69.0,68.0,58.0,64
109,46.0,59.0,50.0,57.0,70.0,68.0,62.0,65
110,46.0,61.0,49.0,58.0,69.0,69.0,63.0,66
111,45.0,62.0,49.0,59.0,68.0,70.0,62.0,67
112,46.0,63.0,50.0,60.0,68.0,70.0,65.0,68
113,47.0,63.0,49.0,62.0,68.0,68.0,67.0,69
114,49.0,62.0,50.0,63.0,67.0,62.0,64.0,70
115,48.0,59.0,48.0,62.0,65.0,60.0,62.0,64
116,46.0,56.0,47.0,63.0,64.0,58.0,61.0,59
117,45.0,56.0,48.0,65.0,64.0,55.0,57.0,56
118,44.0,58.0,48.0,66.0,71.0,55.0,54.0,53
119,45.0,58.0,47.0,67.0,70.0,54.0,53.0,53
120,46.0,58.0,48.0,66.0,67.0,55.0,54.0,52
121,47.0,58.0,46.0,68.0,64.0,55.0,53.0,52
122,46.0,58.0,47.0,66.0,63.0,57.0,53.0,53
123,47.0,58.0,48.0,59.0,65.0,58.0,53.0,53
124,47.0,59.0,49.0,55.0,64.0,60.0,53.0,52
125,47.0,59.0,50.0,52.0,63.0,63.0,54.0,52
126,46.0,58.0,50.0,50.0,62.0,65.0,51.0,53
127,45.0,58.0,49.0,49.0,61.0,62.0,50.0,55
128,44.0,59.0,48.0,50.0,62.0,61.0,50.0,55
129,45.0,59.0,49.0,49.0,66.0,60.0,50.0,55
130,46.0,60.0,48.0,50.0,69.0,58.0,51.0,56
131,46.0,61.0,49.0,51.0,67.0,55.0,52.0,57
132,46.0,61.0,48.0,52.0,65.0,54.0,55.0,56
133,45.0,62.0,47.0,52.0,63.0,53.0,54.0,56
134,46.0,62.0,48.0,53.0,63.0,54.0,55.0,55
135,46.0,63.0,48.0,61.0,64.0,55.0,54.0,54
136,46.0,62.0,49.0,69.0,66.0,57.0,53.0,54
137,46.0,61.0,48.0,70.0,64.0,56.0,52.0,56
138,47.0,60.0,48.0,70.0,62.0,56.0,53.0,59
139,46.0,57.0,47.0,71.0,61.0,57.0,52.0,60
140,45.0,58.0,49.0,71.0,61.0,58.0,51.0,58
141,45.0,58.0,48.0,68.0,62.0,58.0,50.0,57
142,45.0,59.0,49.0,66.0,63.0,60.0,49.0,56
143,46.0,58.0,50.0,62.0,64.0,61.0,50.0,55
144,47.0,59.0,49.0,63.0,64.0,60.0,52.0,55
